Qty,Value,Device,Package,Parts,Description
1,,PINHD-2X20,2X20,JP1,PIN HEADER
1,0.1uF,CAP_CERAMIC_0805MP,_0805MP,C38,Ceramic Capacitors
1,10K,RESISTOR_0805MP,_0805MP,R38,Resistors
1,10uF,CAP_CERAMIC_0805MP,_0805MP,C26,Ceramic Capacitors
1,18â„¦,RESISTOR_0805MP,_0805MP,R39,Resistors
2,1uF,CAP_CERAMIC_0805MP,_0805MP,"C37, C55",Ceramic Capacitors
1,51296-5494,51296-5494,51296,U$5,"Molex   0.5mm Pitch, Bottom contacts, 54 positions"
1,6.8uH power L CID 2276,INDUCTORNR5040,INDUCTOR_5X5MM_NR5040_NOTHERMALS,L3,Inductors
1,FAN5333BSX,FAN5331,SOT23-5@1,U3,FAN5331 - LED/OLED 20V Boost Converter
1,MBR0540,DIODESOD-123,SOD-123,D2,Diode
1,SZMM5Z24VT1G,DIODESMA,SMADIODE,D1,Diode